asin,number_of_reviews,number_of_stars,price,product_name
B0791YHVMT,,,"39,99",Fire TV Stick mit Alexa-Sprachfernbedienung
B07GH32Q2L,,,"8,90","vau Glas kompatibel mit iPhone XR, iPhone 11 - Panzerglas Pro Schutzfolie 3 x Folie Vorne + Installationswerkzeug Displayschutzfolie Front (kompatibel zu Apple iPhone 10r / XI 6.1 LCD)"
B014I8SSD0,3.455,"4,6","5,59","AmazonBasics HL-007306 Hochgeschwindigkeits-HDMI-Kabel 2.0, Ethernet, 3D, 4K-Videowiedergabe und ARC, Ultra-HD1.8m, Schwarz"
B07J694TB1,2.64,"4,3","33,20","Bluetooth Kopfhörer, ENACFIRE E18 Bluetooth Kopfhörer in Ear Bluetooth 5.0 Headset Stereo-Minikopfhörer Sport Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen und Integriertem Mikrofon"
B074BWH4BQ,1.852,"4,1","7,99","[2 Stück] OMOTON Panzerglas Schutzfolie für iPhone XS / iPhone X, iPhone XS / iPhone x Displayschutzfolie mit Positionierhilfe, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen, [5.8 zoll]"
B01MZEEFBA,,,"29,99","Amazon Smart Plug (WLAN-Steckdose), funktioniert  mit Alexa"
B01EY78FQU,2.939,"4,4","6,99","[2 Stück] OMOTON Panzerglasfolie kompatibel mit iPhone 6s und iPhone 6, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen, lebenslange Garantie"
B07GB3XJYZ,,,"7,96","OMOTON [3 Stück] Panzerglasfolie für iPhone 11 und iPhone XR [6.1 Zoll], mit Positionierhilfe, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen, Hülle Freundllich, [2.5D Runde Kante]"
B07GQGX855,2.91,"4,7","9,99","Handy Autohalterung, Lamicall Auto Vent Halterung : Universal 360 Grad Drehung KFZ Lüftung Halter für Phone 11 Pro, Xs Max, XR, X, 8, 7, 6, Samsung S10 S9 S8 S7 S6, Huawei, andere Smartphone - Schwarz"
B079QHMFWC,,,"59,99",Fire\xa0TV\xa0Stick\xa04K Ultra HD mit Alexa-Sprachfernbedienung
B0787ZLSWZ,1.189,"4,2","7,99","OMOTON [3 Stück] Schutzfolie kompatibel für iPhone 7/ iPhone 8, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen"
B07PHPXHQS,,,"42,99","Echo Dot (3. Gen.) Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff"
B07K88MDQL,584,"4,3","6,99","Beikell [4 Stück Displayschutzfolie für iPhone 8, iPhone 7, iPhone 6S und iPhone 6, Gehärtetes Glas Schutzfolie [4,7 Zoll], 9H Härte, Kratzfest, Blasenfrei"
B01BBWWFB2,3.525,"4,5","54,99","AVM FRITZ!Fon C5 DECT-Komforttelefon (hochwertiges Farbdisplay, HD-Telefonie, Internet-/Komfortdienste, Steuerung FRITZ!Box-Funktionen) schwarz, deutschsprachige Version"
B00Y211AFM,1.751,"4,5","9,99","Anker Ultra Slim Extra Leicht 4 Port USB 3.0 Hub, Datenhub für MacBook, MacBook Air / Pro / Mini, iMac, MacPro, Windows Laptops und Ultrabooks, sowie PCs und mehr (Schwarz)"
B07DC4RZPY,3.348,"4,3","5,99","AmazonBasics Lightning auf USB A Kabel, Apple MFi Zertifiziert - Weiß, 0,9 m, 1er Pack"
B006FEFBHC,,,"39,99",RICOO TV Wandhalterung R23 Universal für 32-65 Zoll (ca. 81-165cm) Schwenkbar Neigbar | Wand Halter Aufhängung Fernseh Halterung auch für Curved LCD und LED Fernseher | VESA 200x100 400x400 | Schwarz
B07JNRB6NQ,,,"8,99","UNBREAKcable [2 Stück] Panzerglas Schutzfolie für iPhone 8/iPhone 7/6s/6, 2,5D Double Defense Displayschutzfolie mit Positionierhilfe für iPhone 8/7/6s/6, [4,7 Zoll, Kratzfest, Anti-Fingerprint]"
B07HRM4XVL,242,"4,3","8,99","USB Typ C Kabel, [4Pack 0.5M 1M 2M 3M] 3A USB C Ladekabel und Datenkabel Fast Charge Sync schnellladekabel für Samsung Galaxy S10/S9/S8+, Huawei P30/P20, Google Pixel, Sony Xperia XZ, OnePlus 6T"
B06XFK2H8Z,1.699,"4,4","5,99","Anker iPhone Ladekabel Powerline II iPhone Kabel 0,9m Lightning Kabel, [Apple MFi-Zertifiziert] für iPhone XS/XS Max/XR/X/ 8/8 Plus/SE/ 7/7 Plus/ 6s/ 6/6 Plus/ 5S/ 5/ iPad Pro (Weiß)"
B00P7QM5UK,2.373,"4,4","19,99",Poweradd Pilot X7 20000mAh Externer Akku Power Bank Power Pack Ladegerät
B00ZFQZNBK,3.536,"4,5","6,99","AUKEY Handyhalterung Auto Magnet Lüftung KFZ Halterung Universal für iPhone 7 / 6s / 6 / 5s / 5, Samsung S8 und jedes andere Smartphone oder GPS-Gerät"
B00CWNMXQW,,,"11,99","AmazonBasics Vorgeladene Ni-MH AAA-Akkus - Akkubatterien (1.000 Zyklen, typisch 800mAh,  1.2 V ,minimal 750mAh) 8 Stck (Äußere Hülle kann von Darstellung abweichen)"
B00VJT3IUA,7.775,"4,5","29,99","Anker Powerbank, PowerCore 20100mAh Externer Akku, hohe Kapazität 2-Port 4,8 A Output Ladegerät mit PowerIQ Technologie für iPhone, iPad, Samsung Galaxy und viele mehr (in Schwarz/Matt)"
B01LXP5TXI,1.081,"4,5","14,99","Amazon Ethernetadapter für Fire TV und Fire TV Stick mit Alexa-Sprachfernbedienung (2017 Modelle), Fire TV Stick Basic-Edition und Fire TV Stick 4K"
B07GX33WVR,279,"4,6","11,99","Spigen, 2 Stück, Panzerglasfolie kompatibel mit iPhone 11, iPhone XR, Glas.tR EZ Fit, mit Schablone für Installation, 9H gehärtes Glas, Hüllenfreundlich, Schutzfolie für iPhone 11 (064GL25166)"
B07PFSC6CW,144,"4,6","7,99","[4 Stück] OMOTON Schutzfolie für iphone 11 pro und iphone X und iphone XS Mit Positionierhilfe Panzerglasfolie für iphone 11 Pro/ XS/ X [9H Härte], [Anti-Kratzen], [Anti-Öl], [Anti-Bläschen]."
B07XDP2D6K,11,"3,9","69,00","AVM Fritz!Fon C6 DECT-Komforttelefon (hochwertiges Farbdisplay, HD-Telefonie, Internet-/Komfortdienste, Steuerung Fritz!Box-Funktionen) weiß, deutschsprachige Version"
B01MPWZ4M7,2.829,"4,4","12,95","Power Theory Panzerglasfolie kompatibel mit iPhone 7/8 (2 Stück) - Japanische 9H Panzerglas Folie, HD Displayschutzfolie/Panzerfolie, Tempered Glas Schutzglas, Schutzfolie Screen Protector Glass"
B07MGG1G4L,2.157,"4,2","45,99",【2019 Neueste】Antimi Bluetooth Kopfhörer Kabellos Noise Cancelling In Ear Ohrhörer Wireless Bluetooth 5.0 Headset mit 3000mAh Batterie Sport IPX7 Wasserdicht Mikrofon für iPhone Android
B07DBX67NC,586,"4,4","13,59","Anker PowerWave Wireless Charger Ladepad, Kabelloses 10W Ladegerät, Qi-Zertifiziert, Kompatibel mit iphone 11/11 Pro/11 Pro max/XR/XS/X/8,10W Schnellladungen, Samsung Galaxy S10/S9 / S9+ /S8/S8+ usw."
B07DX39RNS,662,"3,7","8,91",Samsung Original Typ C Ladegerät Schnellladegerät EP-TA20EBE Farbe Schwarz inkl. USB Typ-C Ladekabel Schnellladekabel Galaxy S8 S8+ S9 Plus S9+ A3 A5 A7 2017 USB-C
B07JNJGM1G,384,"4,3","9,85","UNBREAKcable Panzerglas [2er Pack] Panzerglasfolie Kompatibel mit iPhone 11 Pro/XS/X/10 (5.8 Zoll), 2.5D Double Defense Series Displayschutzfolie, Kratzfest, Anti-Fingerprint, und Blasenfrei"
B01F9RH0R4,1.304,"4,5","7,99","AmazonBasics Verbindungskabel Lightning-auf-USB-A, Nylon, geflochten, 1,8 m, zertifiziert von Apple, Dunkelgrau"
B006XE8DEC,3.842,"4,4","4,89","VARTA Batterien Electronics CR2025 Lithium Knopfzelle (3V Batterie, 5er Pack Knopfzellen in Original 5er Blisterverpackung)"
B01JS1WJP0,,,"15,99","Anker iPhone Ladekabel, Lightning Kabel 2-Pack 1.8m Nylon iPhone Kabel [MFi Zertifiziert] für iPhone XR iPhone 7,iPhone X,iPhone 8,iPhone 6s iPhone 6, iPhone 7, iPhone XS/XS MAX/8 Plus (Grau)"
