asin,number_of_reviews,number_of_stars,price,product_name
"/Amazon-Fire-TV-Stick-Alexa-Sprachfernbedienung/dp/B0791YHVMT?_encoding=UTF8&psc=1,/product-reviews/B0791YHVMT,/product-reviews/B0791YHVMT,/Amazon-Fire-TV-Stick-Alexa-Sprachfernbedienung/dp/B0791YHVMT?_encoding=UTF8&psc=1",9.270,"4,6 von 5 Sternen","39,99 €","
            Fire TV Stick mit Alexa-Sprachfernbedienung
        "
"/vau-Schutzfolie-Panzerglasfolie-Installationswerkzeug-Displayschutzfolie-clear/dp/B07GH32Q2L?_encoding=UTF8&psc=1,/product-reviews/B07GH32Q2L,/product-reviews/B07GH32Q2L,/vau-Schutzfolie-Panzerglasfolie-Installationswerkzeug-Displayschutzfolie-clear/dp/B07GH32Q2L?_encoding=UTF8&psc=1",981,"4,4 von 5 Sternen","8,90 €","
            vau Glas kompatibel mit iPhone XR, iPhone 11 - Panzerglas Pro Schutzfolie 3 x Folie Vorne + Installationswerkzeug Displayschutzfolie Front (kompatibel zu Apple iPhone 10r / XI 6.1 LCD)
        "
"/AmazonBasics-HL-007306-Hochgeschwindigkeits-HDMI-Kabel-Ethernet-4K-Videowiedergabe-Schwarz/dp/B014I8SSD0?_encoding=UTF8&psc=1,/product-reviews/B014I8SSD0,/product-reviews/B014I8SSD0,/AmazonBasics-HL-007306-Hochgeschwindigkeits-HDMI-Kabel-Ethernet-4K-Videowiedergabe-Schwarz/dp/B014I8SSD0?_encoding=UTF8&psc=1",3.451,"4,6 von 5 Sternen","5,59 €","
            AmazonBasics HL-007306 Hochgeschwindigkeits-HDMI-Kabel 2.0, Ethernet, 3D, 4K-Videowiedergabe und ARC, Ultra-HD1.8m, Schwarz
        "
"/Bluetooth-Kopfh%C3%B6rer-Stereo-Minikopfh%C3%B6rer-Ladek%C3%A4stchen-Integriertem/dp/B07J694TB1?_encoding=UTF8&psc=1,/product-reviews/B07J694TB1,/product-reviews/B07J694TB1,/Bluetooth-Kopfh%C3%B6rer-Stereo-Minikopfh%C3%B6rer-Ladek%C3%A4stchen-Integriertem/dp/B07J694TB1?_encoding=UTF8&psc=1",2.591,"4,3 von 5 Sternen","33,20 €","
            Bluetooth Kopfhörer, ENACFIRE E18 Bluetooth Kopfhörer in Ear Bluetooth 5.0 Headset Stereo-Minikopfhörer Sport Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen und Integriertem Mikrofon
        "
"/OMOTON-iPhone-Displayschutzfolie-Positionierhilfe-Anti-Bl%C3%A4schen-durchsichtig/dp/B074BWH4BQ?_encoding=UTF8&psc=1,/OMOTON-iPhone-Displayschutzfolie-Positionierhilfe-Anti-Bl%C3%A4schen-durchsichtig/dp/B074BWH4BQ?_encoding=UTF8&psc=1",,,"7,99 €",
"/OMOTON-Schutzfolie-iPhone-Anti-Kratzen-Anti-Bl%C3%A4schen-durchsichtig/dp/B0787ZLSWZ?_encoding=UTF8&psc=1,/OMOTON-Schutzfolie-iPhone-Anti-Kratzen-Anti-Bl%C3%A4schen-durchsichtig/dp/B0787ZLSWZ?_encoding=UTF8&psc=1",,,"7,99 €",
"/Amazon-Smart-Plug/dp/B01MZEEFBA?_encoding=UTF8&psc=1,/product-reviews/B01MZEEFBA,/product-reviews/B01MZEEFBA,/Amazon-Smart-Plug/dp/B01MZEEFBA?_encoding=UTF8&psc=1",2.667,"4,6 von 5 Sternen","29,99 €","
            Amazon Smart Plug (WLAN-Steckdose), funktioniert  mit Alexa
        "
"/Amazon-Fire-TV-Stick-4K-Ultra-Hd-Alexa-Sprachfernbedienung-Alexa/dp/B079QHMFWC?_encoding=UTF8&psc=1,/product-reviews/B079QHMFWC,/product-reviews/B079QHMFWC,/Amazon-Fire-TV-Stick-4K-Ultra-Hd-Alexa-Sprachfernbedienung-Alexa/dp/B079QHMFWC?_encoding=UTF8&psc=1",7.098,"4,6 von 5 Sternen","59,99 €","
            Fire TV Stick 4K Ultra HD mit Alexa-Sprachfernbedienung
        "
"/Echo-Dot-3-Gen-Intelligenter-Lautsprecher-mit-Alexa-Anthrazit-Stoff/dp/B07PHPXHQS?_encoding=UTF8&psc=1,/product-reviews/B07PHPXHQS,/product-reviews/B07PHPXHQS,/Echo-Dot-3-Gen-Intelligenter-Lautsprecher-mit-Alexa-Anthrazit-Stoff/dp/B07PHPXHQS?_encoding=UTF8&psc=1",15.417,"4,6 von 5 Sternen","42,99 €","
            Echo Dot (3. Gen.) Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff
        "
"/OMOTON-Displayschutzfolie-Anti-Kratzen-Anti-Bl%C3%A4schen-lebenslange-durchsichtig/dp/B01EY78FQU?_encoding=UTF8&psc=1,/product-reviews/B01EY78FQU,/product-reviews/B01EY78FQU,/OMOTON-Displayschutzfolie-Anti-Kratzen-Anti-Bl%C3%A4schen-lebenslange-durchsichtig/dp/B01EY78FQU?_encoding=UTF8&psc=1",2.922,"4,4 von 5 Sternen","6,99 €","
            [2 Stück] OMOTON Panzerglasfolie kompatibel mit iPhone 6s und iPhone 6, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen, lebenslange Garantie
        "
"/Lamicall-Handy-Autohalterung-Auto-Halterung-Schwarz/dp/B07GQGX855?_encoding=UTF8&psc=1,/product-reviews/B07GQGX855,/product-reviews/B07GQGX855,/Lamicall-Handy-Autohalterung-Auto-Halterung-Schwarz/dp/B07GQGX855?_encoding=UTF8&psc=1",2.904,"4,7 von 5 Sternen","9,99 €","
            Handy Autohalterung, Lamicall Auto Vent Halterung : Universal 360 Grad Drehung KFZ Lüftung Halter für Phone 11 Pro, Xs Max, XR, X, 8, 7, 6, Samsung S10 S9 S8 S7 S6, Huawei, andere Smartphone - Schwarz
        "
"/OMOTON-Schutzfolie-Positionierhilfe-Anti-Kratzen-Anti-Bl%C3%A4schen-durchsichtig/dp/B07GB3XJYZ?_encoding=UTF8&psc=1,/product-reviews/B07GB3XJYZ,/product-reviews/B07GB3XJYZ,/OMOTON-Schutzfolie-Positionierhilfe-Anti-Kratzen-Anti-Bl%C3%A4schen-durchsichtig/dp/B07GB3XJYZ?_encoding=UTF8&psc=1",349,"4,6 von 5 Sternen","7,96 €","
            OMOTON [3 Stück] Panzerglasfolie für iPhone 11 und iPhone XR [6.1 Zoll], mit Positionierhilfe, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen, Hülle Freundllich, [2.5D Runde Kante]
        "
"/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/dp/B01BBWWFB2?_encoding=UTF8&psc=1,/product-reviews/B01BBWWFB2,/product-reviews/B01BBWWFB2,/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/dp/B01BBWWFB2?_encoding=UTF8&psc=1",3.486,"4,5 von 5 Sternen","54,99 €","
            AVM FRITZ!Fon C5 DECT-Komforttelefon (hochwertiges Farbdisplay, HD-Telefonie, Internet-/Komfortdienste, Steuerung FRITZ!Box-Funktionen) schwarz, deutschsprachige Version
        "
"/JUFD-geflochten-Ladekabel-Datenkabel-schnellladekabel-Schwarz/dp/B07HRM4XVL?_encoding=UTF8&psc=1,/product-reviews/B07HRM4XVL,/product-reviews/B07HRM4XVL,/JUFD-geflochten-Ladekabel-Datenkabel-schnellladekabel-Schwarz/dp/B07HRM4XVL?_encoding=UTF8&psc=1",233,"4,3 von 5 Sternen","8,99 €","
            USB Typ C Kabel, [4Pack 0.5M 1M 2M 3M] 3A USB C Ladekabel und Datenkabel Fast Charge Sync schnellladekabel für Samsung Galaxy S10/S9/S8+, Huawei P30/P20, Google Pixel, Sony Xperia XZ, OnePlus 6T
        "
"/Beikell-Panzerglas-Displayschutzfolie-Geh%C3%A4rtetes-Schutzfolie-durchsichtig/dp/B07K88MDQL?_encoding=UTF8&psc=1,/product-reviews/B07K88MDQL,/product-reviews/B07K88MDQL,/Beikell-Panzerglas-Displayschutzfolie-Geh%C3%A4rtetes-Schutzfolie-durchsichtig/dp/B07K88MDQL?_encoding=UTF8&psc=1",565,"4,4 von 5 Sternen","6,99 €","
            Beikell [4 Stück Displayschutzfolie für iPhone 8, iPhone 7, iPhone 6S und iPhone 6, Gehärtetes Glas Schutzfolie [4,7 Zoll], 9H Härte, Kratzfest, Blasenfrei
        "
"/AmazonBasics-Lightning-Kabel-Apple-Zertifiziert/dp/B07DC4RZPY?_encoding=UTF8&psc=1,/product-reviews/B07DC4RZPY,/product-reviews/B07DC4RZPY,/AmazonBasics-Lightning-Kabel-Apple-Zertifiziert/dp/B07DC4RZPY?_encoding=UTF8&psc=1",3.295,"4,3 von 5 Sternen","5,99 €","
            AmazonBasics Lightning auf USB A Kabel, Apple MFi Zertifiziert - Weiß, 0,9 m, 1er Pack
        "
"/RICOO-Wandhalterung-Schwenkbar-Wandhalter-Flachbildfernseher/dp/B006FEFBHC?_encoding=UTF8&psc=1,/product-reviews/B006FEFBHC,/product-reviews/B006FEFBHC,/RICOO-Wandhalterung-Schwenkbar-Wandhalter-Flachbildfernseher/dp/B006FEFBHC?_encoding=UTF8&psc=1",5.276,"4,8 von 5 Sternen","39,99 €","
            RICOO TV Wandhalterung R23 Universal für 32-65 Zoll (ca. 81-165cm) Schwenkbar Neigbar | Wand Halter Aufhängung Fernseh Halterung auch für Curved LCD und LED Fernseher | VESA 200x100 400x400 | Schwarz
        "
"/Anker-Ladekabel-Powerline-Lightning-MFi-Zertifiziert-Wei%C3%9F/dp/B06XFK2H8Z?_encoding=UTF8&psc=1,/product-reviews/B06XFK2H8Z,/product-reviews/B06XFK2H8Z,/Anker-Ladekabel-Powerline-Lightning-MFi-Zertifiziert-Wei%C3%9F/dp/B06XFK2H8Z?_encoding=UTF8&psc=1",1.696,"4,4 von 5 Sternen","5,99 €","
            Anker iPhone Ladekabel Powerline II iPhone Kabel 0,9m Lightning Kabel, [Apple MFi-Zertifiziert] für iPhone XS/XS Max/XR/X/ 8/8 Plus/SE/ 7/7 Plus/ 6s/ 6/6 Plus/ 5S/ 5/ iPad Pro (Weiß)
        "
"/Poweradd-Pilot-20000mAh-Externer-Ladeger%C3%A4t-Schwarz/dp/B00P7QM5UK?_encoding=UTF8&psc=1,/product-reviews/B00P7QM5UK,/product-reviews/B00P7QM5UK,/Poweradd-Pilot-20000mAh-Externer-Ladeger%C3%A4t-Schwarz/dp/B00P7QM5UK?_encoding=UTF8&psc=1",2.371,"4,4 von 5 Sternen","19,99 €","
            Poweradd Pilot X7 20000mAh Externer Akku Power Bank Power Pack Ladegerät
        "
"/CUBOT-16GB-Handy-blau-Android/dp/B07R3C4X79?_encoding=UTF8&psc=1,/CUBOT-16GB-Handy-blau-Android/dp/B07R3C4X79?_encoding=UTF8&psc=1",,,"72,72 €",
"/UNBREAKcable-Schutzfolie-Displayschutzfolie-Positionierhilfe-Anti-Fingerprint-iPhone-6s-6-7-8/dp/B07JNRB6NQ?_encoding=UTF8&psc=1,/product-reviews/B07JNRB6NQ,/product-reviews/B07JNRB6NQ,/UNBREAKcable-Schutzfolie-Displayschutzfolie-Positionierhilfe-Anti-Fingerprint-iPhone-6s-6-7-8/dp/B07JNRB6NQ?_encoding=UTF8&psc=1",299,"4,3 von 5 Sternen","8,99 €","
            UNBREAKcable [2 Stück] Panzerglas Schutzfolie für iPhone 8/iPhone 7/6s/6, 2,5D Double Defense Displayschutzfolie mit Positionierhilfe für iPhone 8/7/6s/6, [4,7 Zoll, Kratzfest, Anti-Fingerprint]
        "
"/AmazonBasics-Vorgeladene-Ni-MH-AAA-Akkus-Akkubatterien-Wei%C3%9F/dp/B00CWNMXQW?_encoding=UTF8&psc=1,/AmazonBasics-Vorgeladene-Ni-MH-AAA-Akkus-Akkubatterien-Wei%C3%9F/dp/B00CWNMXQW?_encoding=UTF8&psc=1",,,"11,99 €",
"/Anker-Datenhub-Ultrabooks-weiteren-kompatiblen/dp/B00Y211AFM?_encoding=UTF8&psc=1,/product-reviews/B00Y211AFM,/product-reviews/B00Y211AFM,/Anker-Datenhub-Ultrabooks-weiteren-kompatiblen/dp/B00Y211AFM?_encoding=UTF8&psc=1",1.749,"4,5 von 5 Sternen","9,99 €","
            Anker Ultra Slim Extra Leicht 4 Port USB 3.0 Hub, Datenhub für MacBook, MacBook Air / Pro / Mini, iMac, MacPro, Windows Laptops und Ultrabooks, sowie PCs und mehr (Schwarz)
        "
"/AUKEY-Handyhalterung-Halterung-Universal-Smartphone-Grau/dp/B00ZFQZNBK?_encoding=UTF8&psc=1,/product-reviews/B00ZFQZNBK,/product-reviews/B00ZFQZNBK,/AUKEY-Handyhalterung-Halterung-Universal-Smartphone-Grau/dp/B00ZFQZNBK?_encoding=UTF8&psc=1",3.534,"4,5 von 5 Sternen","6,99 €","
            AUKEY Handyhalterung Auto Magnet Lüftung KFZ Halterung Universal für iPhone 7 / 6s / 6 / 5s / 5, Samsung S8 und jedes andere Smartphone oder GPS-Gerät
        "
"/Spigen-Panzerglasfolie-Installation-H%C3%BCllenfreundlich-064GL25166-durchsichtig/dp/B07GX33WVR?_encoding=UTF8&psc=1,/product-reviews/B07GX33WVR,/product-reviews/B07GX33WVR,/Spigen-Panzerglasfolie-Installation-H%C3%BCllenfreundlich-064GL25166-durchsichtig/dp/B07GX33WVR?_encoding=UTF8&psc=1",275,"4,6 von 5 Sternen","11,99 €","
            Spigen, 2 Stück, Panzerglasfolie kompatibel mit iPhone 11, iPhone XR, Glas.tR EZ Fit, mit Schablone für Installation, 9H gehärtes Glas, Hüllenfreundlich, Schutzfolie für iPhone 11 (064GL25166)
        "
"/Amazon-Ethernetadapter-Alexa-Sprachfernbedienung-Modelle-Basic/dp/B01LXP5TXI?_encoding=UTF8&psc=1,/product-reviews/B01LXP5TXI,/product-reviews/B01LXP5TXI,/Amazon-Ethernetadapter-Alexa-Sprachfernbedienung-Modelle-Basic/dp/B01LXP5TXI?_encoding=UTF8&psc=1",1.079,"4,5 von 5 Sternen","14,99 €","
            Amazon Ethernetadapter für Fire TV und Fire TV Stick mit Alexa-Sprachfernbedienung (2017 Modelle), Fire TV Stick Basic-Edition und Fire TV Stick 4K
        "
"/Anker-PowerCore-Powerbank-Kapazit%C3%A4t-Technologie-Schwarz/dp/B00VJT3IUA?_encoding=UTF8&psc=1,/product-reviews/B00VJT3IUA,/product-reviews/B00VJT3IUA,/Anker-PowerCore-Powerbank-Kapazit%C3%A4t-Technologie-Schwarz/dp/B00VJT3IUA?_encoding=UTF8&psc=1",7.771,"4,5 von 5 Sternen","29,99 €","
            Anker Powerbank, PowerCore 20100mAh Externer Akku, hohe Kapazität 2-Port 4,8 A Output Ladegerät mit PowerIQ Technologie für iPhone, iPad, Samsung Galaxy und viele mehr (in Schwarz/Matt)
        "
"/Power-Theory-iPhone-Panzerglasfolie-St%C3%BCck-Transparent/dp/B01MPWZ4M7?_encoding=UTF8&psc=1,/product-reviews/B01MPWZ4M7,/product-reviews/B01MPWZ4M7,/Power-Theory-iPhone-Panzerglasfolie-St%C3%BCck-Transparent/dp/B01MPWZ4M7?_encoding=UTF8&psc=1",2.820,"4,4 von 5 Sternen","12,95 €","
            Power Theory Panzerglasfolie kompatibel mit iPhone 7/8 (2 Stück) - Japanische 9H Panzerglas Folie, HD Displayschutzfolie/Panzerfolie, Tempered Glas Schutzglas, Schutzfolie Screen Protector Glass
        "
"/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige/dp/B07XDP2D6K?_encoding=UTF8&psc=1,/product-reviews/B07XDP2D6K,/product-reviews/B07XDP2D6K,/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige/dp/B07XDP2D6K?_encoding=UTF8&psc=1",10,"3,8 von 5 Sternen","69,00 €","
            AVM Fritz!Fon C6 DECT-Komforttelefon (hochwertiges Farbdisplay, HD-Telefonie, Internet-/Komfortdienste, Steuerung Fritz!Box-Funktionen) weiß, deutschsprachige Version
        "
"/Samsung-Smartphone-interner-Speicher-Charcoal-Black/dp/B07NH3C1KN?_encoding=UTF8&psc=1,/Samsung-Smartphone-interner-Speicher-Charcoal-Black/dp/B07NH3C1KN?_encoding=UTF8&psc=1",,,"229,00 €",
